,post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
76,47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,64,19,meribold,2026-04-10 22:09:37,0.2923076923076923,False
77,47696562,Show HN: Is Hormuz open yet?,entertainment,467,204,anonfunction,2026-04-10 22:09:37,0.4358974358974359,True
78,47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",entertainment,114,36,pruz,2026-04-10 22:09:37,0.3130434782608696,False
79,47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,783,235,sam-bee,2026-04-10 22:09:37,0.2997448979591837,True
80,47674606,Show HN: Unicode Steganography,entertainment,55,13,PatrickVuscan,2026-04-10 22:09:37,0.23214285714285715,False
81,47657204,Show HN: We built a camera only robot vacuum for less than $300 (well almost),entertainment,107,55,indraneelpatil,2026-04-10 22:09:37,0.5092592592592593,False
82,47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,61,12,rvitorper,2026-04-10 22:09:37,0.1935483870967742,False
83,47710713,"Show HN: Linear RNN/Reservoir hybrid generative model, one C file (no deps.)",entertainment,7,2,adinhitlore,2026-04-10 22:09:37,0.25,False
84,47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,entertainment,52,37,dreamsome,2026-04-10 22:09:37,0.6981132075471698,False
85,47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,55,25,vkatluri,2026-04-10 22:09:37,0.44642857142857145,False
86,47689319,Show HN: Skrun – Deploy any agent skill as an API,entertainment,60,12,frizull,2026-04-10 22:09:37,0.19672131147540983,False
